Bowler,Bowler Type,Short Type,Average Adjusted Velocity,90th Percentile Adjusted Velocity,Adjusted Velocity Variation,Average Release Height,Middle Percentage,Edge Percentage,Whiff Percentage,Runs per Edge
BL D'Oliveira,RLB,Spin,47.120616470302274,49.98967116871496,5.2676140010494805,1.901207609090909,0.7727272727272727,0.012987012987012988,0.032467532467532464,0.5
Kashif Ali,RLB,Spin,60.27353872806091,81.42905290981948,36.562134982356596,2.050095372,0.6981132075471698,0.05660377358490566,0.05660377358490566,0.3333333333333333
AM Vaughan,ROB,Spin,49.57037602384471,53.04739893567665,6.764895784108262,2.281481641467577,0.6594594594594595,0.05345345345345345,0.03123123123123123,0.550561797752809
TA Lammonby,LM,Seam,73.46540850664894,79.06582840668686,10.54021603796211,2.0241182340540544,0.625,0.041666666666666664,0.08796296296296297,1.0
T Banton,ROB,Spin,52.896420401227324,63.79613813970549,18.040468418921613,2.313928327272727,0.9473684210526315,0.05263157894736842,0.0,0.0
ER Bamber,RFM,Seam,75.8149415886924,80.73324575660436,9.90939088331234,2.049558658974359,0.6155419222903885,0.08670756646216769,0.10143149284253579,1.1132075471698113
MVT Fernando,LFM,Seam,77.64204210579956,81.97992462870873,9.842127355973062,1.9619921563492062,0.7237163814180929,0.07579462102689487,0.07579462102689487,1.096774193548387
EG Barnard,RM,Seam,74.57165735525454,80.34641865462999,12.057353354150479,2.073683289183531,0.6543942992874109,0.07897862232779097,0.07482185273159145,0.9924812030075187
MG Booth,RFM,Seam,81.10217261201161,86.1460081422088,10.253873864052863,2.0327423791500663,0.5893048128342246,0.10588235294117647,0.11764705882352941,1.1717171717171717
TC Ali,RLB,Spin,53.60799267014738,56.491692117820236,6.080022397963802,2.112807369502075,0.848575712143928,0.049475262368815595,0.022488755622188907,1.0303030303030303
RM Yates,ROB,Spin,51.28094369031163,56.08801154756696,8.900501717769124,2.2960920795306388,0.8016112789526687,0.03927492447129909,0.03625377643504532,0.6923076923076923
DR Mousley,ROB,Spin,53.93878314645704,64.97490874651812,16.990702680804752,2.2476428965986397,0.8356807511737089,0.018779342723004695,0.04225352112676056,1.25
OE Robinson,RFM,Seam,81.36848180866166,87.2752627007963,13.52717019588475,2.2722003452531645,0.5435931307793923,0.1036988110964333,0.10435931307793923,1.4076433121019107
JNT Seales,RFM,Seam,82.93183073177424,88.01009132273168,10.757824182867239,2.117810289154013,0.6137184115523465,0.08483754512635379,0.08303249097472924,1.7659574468085106
DJ Lamb,RM,Seam,76.25994628933502,81.00933606246107,10.735500098281534,2.028898515075377,0.5313807531380753,0.07112970711297072,0.0502092050209205,2.411764705882353
FJ Hudson-Prentice,RFM,Seam,76.36278511093978,82.30417444282574,12.429517261863907,2.1216352730805688,0.5803497085761865,0.06910907577019151,0.0466278101582015,1.2409638554216869
TGR Clark,RFM,Seam,79.4268147556882,84.69171048717827,10.572149354137238,2.1176553846153845,0.5895953757225434,0.06647398843930635,0.08092485549132948,0.9565217391304348
JJ Carson,ROB,Spin,48.245550215539446,51.66343940514422,6.634483983788826,2.260505334057971,0.6097424412094065,0.044232922732362824,0.036954087346024636,0.5822784810126582
JM Coles,LOB,Spin,52.10081882819088,57.712949019550756,10.357549716638069,2.340766010981308,0.5952980688497062,0.04114189756507137,0.04030226700251889,1.0
