Bowler,ReleaseY External,ReleaseZ External
JC Tongue,-1.2052427,2.0877164
JC Tongue,-0.9971062,2.0384656
LW James,-0.491186,2.1696124
LW James,-0.4514038,2.121539
LW James,-0.511407,2.1118343
LW James,-0.4685904,2.1010821
LW James,-0.5395683,2.1018888
JC Tongue,-0.9681477,2.0221001
JC Tongue,-1.003396,2.0855722
JC Tongue,0.6028743,2.0817031
JC Tongue,-1.0199122,2.0799037
JC Tongue,-0.966851,2.0826375
LW James,1.0192994,2.1065424
LW James,1.0687963,2.1046403
LW James,0.9975621,2.0909307
LW James,-0.3959343,2.1305955
LW James,-0.4879696,2.1416166
LW James,-0.4252038,2.1130938
F Ahmed,1.0263136,2.0301096
F Ahmed,0.966977,1.9878477
F Ahmed,1.0051514,2.0174667
F Ahmed,0.9636499,1.9976294
LW James,-0.4718146,2.1691639
LW James,-0.4177009,2.130851
LW James,-0.4740337,2.1102849
LW James,-0.4789965,2.1200488
LW James,-0.5054913,2.1649552
LW James,-0.5234371,2.0976471
F Ahmed,-0.723228,2.0192
F Ahmed,-0.7511376,2.0123149
F Ahmed,-0.7920862,2.0592959
F Ahmed,-0.70359,2.0568154
FP O'Neill,-0.6324751,1.9577969
FP O'Neill,-0.7231695,1.9864049
FP O'Neill,-0.733819,2.023056
FP O'Neill,-0.7082656,1.9665544
FP O'Neill,-0.7168216,2.0328447
F Ahmed,-0.7363348,2.0224146
F Ahmed,-0.6681781,2.0622455
F Ahmed,-0.7589009,2.0485201
F Ahmed,-0.6764743,2.0210913
FP O'Neill,-0.587713,1.9644848
FP O'Neill,-0.7871657,1.9894367
FP O'Neill,-0.8100816,2.0253334
FP O'Neill,-0.7659085,1.983451
FP O'Neill,-0.7275087,1.9659771
FP O'Neill,-0.7793013,2.0223325
F Ahmed,-0.7151505,2.05069
F Ahmed,-0.7421043,2.052223
F Ahmed,-0.747068,2.0573866
F Ahmed,-0.7129119,2.016635
F Ahmed,-0.7309498,2.0887648
FP O'Neill,-0.8082611,2.0138173
FP O'Neill,-0.7716343,1.9785063
FP O'Neill,-0.8225671,2.0425663
FP O'Neill,-0.8080111,1.9959513
FP O'Neill,-0.7596111,2.0185306
JC Tongue,-0.92446,2.0962945
JC Tongue,-0.9463906,2.1120824
JC Tongue,-0.9191799,2.0732049
JC Tongue,-0.8938751,2.112354
JC Tongue,-0.9163196,2.0763799
DY Pennington,-0.6889048,2.2065526
DY Pennington,-0.7058928,2.2189242
JC Tongue,-0.9127657,2.0808651
JC Tongue,-0.9434893,2.0645702
JC Tongue,-0.9096232,2.0951485
JC Tongue,-0.9059997,2.1296922
JC Tongue,-0.994563,2.1202436
JC Tongue,-0.9607504,2.1316904
DY Pennington,-0.6823776,2.2366075
DY Pennington,-0.6881665,2.224212
DY Pennington,-0.723453,2.2271105
DY Pennington,-0.7011613,2.2106908
DY Pennington,-0.7256261,2.1439858
DY Pennington,-0.6887113,2.2146214
JC Tongue,-0.9245241,2.0616988
JC Tongue,-0.9476629,2.1341881
JC Tongue,-0.9269968,2.096591
JC Tongue,-1.0315264,2.1308874
JC Tongue,-0.9991004,2.1679436
DY Pennington,-0.6533114,2.2085176
DY Pennington,-0.6657804,2.1821291
DY Pennington,-0.6856368,2.2167663
DY Pennington,0.8924186,2.1262735
DY Pennington,0.9415826,2.108721
DY Pennington,1.0688853,2.1748215
JC Tongue,-0.9656141,2.0856046
JC Tongue,0.5551112,2.0774258
JC Tongue,0.6005678,2.113997
JC Tongue,0.5940848,2.1054412
DY Pennington,-0.6032443,2.205149
DY Pennington,-0.7371816,2.1947417
DY Pennington,-0.7053388,2.183519
DY Pennington,-0.7006515,2.1552568
DY Pennington,-0.7728071,2.1994092
DY Pennington,-0.6978498,2.179988
JC Tongue,0.6292985,2.1078354
JC Tongue,0.625011,2.1380424
JC Tongue,0.5746864,2.0964615
JC Tongue,-0.9731843,2.1233572
JC Tongue,0.5159541,2.0654925
DY Pennington,-0.6647007,2.2272014
DY Pennington,-0.7160679,2.2113843
DY Pennington,-0.6788505,2.1720922
DY Pennington,0.9213518,2.2215343
DY Pennington,1.0250893,2.2962876
JC Tongue,-0.8920545,2.099394
JC Tongue,-0.9256294,2.1189543
JC Tongue,-0.8906061,2.1187889
JC Tongue,-0.9307486,2.1945373
JC Tongue,-0.9294999,2.1085513
JC Tongue,-0.9722209,2.122674
DY Pennington,-0.5959467,2.2028117
DY Pennington,0.9083184,2.100973
DY Pennington,0.9869304,2.1338578
DY Pennington,0.882087,2.0964748
DY Pennington,0.999979,2.1336698
DY Pennington,1.0171434,2.1090421
FP O'Neill,1.2593799,2.1266696
FP O'Neill,1.2243151,2.1308548
FP O'Neill,1.1160968,2.0502788
FP O'Neill,1.03678,1.9756724
FP O'Neill,-0.7075001,2.022078
FP O'Neill,-0.7509895,1.9789336
LW James,-0.4714609,2.1227769
LW James,-0.4427816,2.2087516
LW James,-0.4920543,2.1719187
LW James,-0.499571,2.0563562
LW James,-0.4968042,2.1678094
FP O'Neill,-0.8168377,2.0401978
FP O'Neill,-0.7316568,1.9842342
FP O'Neill,-0.7697667,2.0412904
FP O'Neill,-0.8004369,2.0007622
FP O'Neill,-0.7523509,1.9989958
FP O'Neill,-0.7540875,2.0293563
