Bowler,External PitchX,External PitchY
JC Tongue,5.540525,-0.625204
JC Tongue,12.0255357,-0.7183169
JC Tongue,7.683924,-0.4299546
F Ahmed,5.2387603,0.0202365
F Ahmed,5.7519774,0.1061252
F Ahmed,4.4462446,-0.1808279
F Ahmed,4.8209122,0.1331923
F Ahmed,5.5443875,0.08423
JC Tongue,6.3825083,-0.5258334
JC Tongue,8.550896,-0.5300812
JC Tongue,6.1325214,-0.4121606
JC Tongue,5.7812482,-0.4259109
JC Tongue,7.7562866,-0.474712
JC Tongue,4.6075682,-0.5800873
F Ahmed,5.8596406,0.1925569
F Ahmed,4.7042873,0.1809785
F Ahmed,6.1339842,0.3390497
F Ahmed,5.663848,0.2068973
F Ahmed,3.5652633,-0.0207455
LW James,7.0869429,-0.2981034
LW James,8.5262203,-0.2459659
LW James,8.474546,-0.2035511
LW James,8.8048191,-0.2226806
LW James,4.4663235,-0.3567433
LW James,6.9603306,-0.4406161
F Ahmed,4.109368,0.1246517
F Ahmed,6.3177059,0.2621351
F Ahmed,5.142881,-0.0064151
F Ahmed,5.3924848,0.0424765
F Ahmed,4.6492007,-0.0283782
LW James,8.1345103,-0.5055041
LW James,6.819234,-0.0448256
LW James,8.2128306,-0.0136723
LW James,5.6023535,0.1880719
LW James,7.2079512,-0.2074157
LW James,7.8575296,-0.3273109
F Ahmed,4.2734661,0.0065999
F Ahmed,3.7038701,0.1810775
F Ahmed,5.0808051,0.0244155
F Ahmed,7.3840291,0.3429477
LW James,7.3785039,0.019157
LW James,11.5453524,0.6572695
LW James,6.5971284,0.6549791
LW James,8.2848124,0.5389182
LW James,8.107998,0.4360608
LW James,6.8142081,0.5707057
F Ahmed,4.8514071,0.096511
F Ahmed,4.7308473,0.0585168
F Ahmed,5.1420639,0.1016867
F Ahmed,4.4117101,0.142479
F Ahmed,4.5543096,0.3317502
LW James,7.6210498,-0.3345138
LW James,8.2696742,-0.1527765
LW James,4.9817278,-0.0653423
LW James,4.7855873,-0.1221474
LW James,9.0271335,-0.3399745
F Ahmed,5.8362288,0.4848718
F Ahmed,4.5544544,0.0521213
F Ahmed,4.8049004,0.2172363
F Ahmed,4.4242681,0.2606638
