Player,Span,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,Link
TE Lawes (SUR),2025-2025,9,16,1194,199,28,735,15,49,3.69,79.6,1,-,https://www.espncricinfo.com/cricketers/tom-lawes-1264775
NG Smith (SUR),2025-2025,4,7,756,126,21,393,14,28.07,3.11,54,-,1,https://www.espncricinfo.com/cricketers/nathan-smith-959771
AAP Atkinson (SUR),2025-2025,4,8,816,136,23,430,14,30.71,3.16,58.28,2,-,https://www.espncricinfo.com/cricketers/gus-atkinson-1039481
MJ Henry (SOM),2025-2025,4,7,738,123,21,439,14,31.35,3.56,52.71,1,-,https://www.espncricinfo.com/cricketers/matt-henry-506612
AW Finch (WOR),2025-2025,5,9,719,119.5,16,465,13,35.76,3.88,55.3,-,-,https://www.espncricinfo.com/cricketers/adam-finch-1026317
KL Aldridge (SOM),2025-2025,8,11,793,132.1,20,528,13,40.61,3.99,61,-,1,https://www.espncricinfo.com/cricketers/kasey-aldridge-1173045
Farhan Ahmed (NOT),2025-2025,8,13,1306,217.4,37,600,13,46.15,2.75,100.46,1,-,https://www.espncricinfo.com/cricketers/farhan-ahmed-1318270
JT Ball (DUR/SOM),2025-2025,4,7,453,75.3,8,263,12,21.91,3.48,37.75,-,1,https://www.espncricinfo.com/cricketers/jake-ball-414990
HT Crocombe (SUS),2025-2025,4,6,510,85,16,375,12,31.25,4.41,42.5,1,-,https://www.espncricinfo.com/cricketers/henry-crocombe-1143809
GS Sandhu (SUS),2025-2025,4,5,657,109.3,19,401,12,33.41,3.66,54.75,-,1,https://www.espncricinfo.com/cricketers/gurinder-sandhu-499660
EA Brookes (WOR),2025-2025,14,22,894,149,15,493,12,41.08,3.3,74.5,-,-,https://www.espncricinfo.com/cricketers/ethan-brookes-1150964
RM Yates (WAR),2025-2025,14,13,1035,172.3,20,573,12,47.75,3.32,86.25,-,-,https://www.espncricinfo.com/cricketers/rob-yates-1097408
SF Hunt (SUS),2025-2025,3,5,306,51,6,178,11,16.18,3.49,27.81,1,1,https://www.espncricinfo.com/cricketers/sean-hunt-1182418
ME Milnes (YOR),2025-2025,3,5,465,77.3,18,260,11,23.63,3.35,42.27,-,1,https://www.espncricinfo.com/cricketers/matt-milnes-639140
R Sai Kishore (SUR),2025-2025,2,4,679,113.1,27,270,11,24.54,2.38,61.72,-,1,https://www.espncricinfo.com/cricketers/sai-kishore-1048739
TC Ali (WAR),2025-2025,5,9,672,112,8,458,11,41.63,4.08,61.09,1,-,https://www.espncricinfo.com/cricketers/tazeem-chaudry-ali-1261835
OJ Hannon-Dalby (WAR),2025-2025,10,17,1672,278.4,56,835,11,75.9,2.99,152,-,-,https://www.espncricinfo.com/cricketers/oliver-hannon-dalby-297483
RD Chahar (SUR),2025-2025,1,2,268,44.4,8,118,10,11.8,2.64,26.8,-,1,https://www.espncricinfo.com/cricketers/rahul-chahar-1064812
